Percentile,Accounting,Advertising/Public Relations,Aerospace Engineering,Agricultural Economics,Agriculture,Animal Science,Anthropology/Archeology,Architecture,Area/Ethnic Studies,Art History,Biological Sciences,Chemical Engineering,Chemistry,Civil Engineering,Communication Technology,Communications,Composition and Rhetoric,Computer Administration Management,Computer and Information Systems,Computer Engineering,Computer Networking and Telecommunications,Computer Programming,Computer Science,Construction,Consumer Science,Cosmetology,Criminal Justice,Criminology,Drama,Economics,Education (All),Electrical Engineering,Engineering (Other),Engineering Technologies,English Language/Literature,Environmental Science,Film/Video/Photography,Finance,Fine Arts,Foreign Languages,Forestry,General Business,Geography,Graphic Design,Health Services (General),High School,History,Hospitality,Human Resources,Human/Community Services,Humanities,Industrial Engineering,Information Science,Interdisciplinary Studies,International Business,Journalism,Liberal Arts,Linguistics/Comparative Language and Literature,Management,Management and Information Science,Marketing,Mass Media,Mathematics and Statistics,Mechanical Engineering,Medical Technologies,Music,Natural Resources Management,Number of Records,Nursing,Philosophy and Religious Studies,Physical Fitness/Parks and Recreation,Physical Sciences (not chem/physics),Physics,Plant Science,Political Science,Psychology,Public Administration,Social Sciences (Other),Social Work,Sociology,Some College but no degree,Studio Arts,Theology,Transportation Science,Treatment Therapy (All)
84,4024105,3570815,4353092,3343569,2874596,2824065,2827336,3443439,3305404,3261748,3283898,4837078,3582219,3977117,2784092,3382972,2820469,3153448,3499466,4365299,3094711,3450860,4205332,3750796,2677602,2434994,2869699,2847301,2557136,4455162,2440826,4179201,3818084,3359660,3186112,3082200,2798474,4496146,2597934,3081668,2714522,3636249,2907944,2928122,3064366,1750622,3073830,2975833,3488528,2511599,2863707,4029004,3915671,2990330,3914713,3479658,2860049,3075404,3508407,4012997,3728712,2995872,3986570,4184789,3445481,2499239,2721270,1,3871610,2814477,2671327,3245941,3811721,2662392,3725888,2941308,3376068,2842830,2518068,3021416,2209872,2405989,1943606,3855549,3300272
85,4073070,3611220,4399794,3389710,2900388,2870662,2869922,3483201,3348128,3310252,3332313,4905321,3635863,4021368,2818556,3419794,2855725,3192955,3540751,4412389,3132907,3484822,4262643,3805138,2722089,2469378,2904557,2875550,2599379,4523943,2467752,4222709,3879329,3394671,3245655,3125304,2834641,4580177,2640303,3135190,2740346,3684674,2938898,2973293,3097181,1774687,3110110,3016996,3529338,2546193,2903327,4078998,3956534,3028188,3968652,3518980,2904135,3133466,3546376,4057647,3785767,3035777,4052276,4221368,3475981,2537181,2745475,1,3900113,2862767,2721156,3292044,3861695,2695638,3770297,2988936,3416226,2875792,2558060,3057978,2237274,2440320,1966606,3894946,3352848
86,4129132,3662474,4455968,3439990,2952634,2917686,2912016,3522809,3392287,3370688,3395479,4948195,3684956,4067196,2868050,3464044,2902703,3240902,3582575,4459042,3164116,3541265,4310046,3849416,2760338,2495662,2947896,2911060,2638954,4591366,2491850,4269116,3919953,3424519,3300782,3169261,2888519,4634709,2684733,3191757,2769208,3737702,2983351,3012315,3136997,1797309,3154952,3057328,3580851,2583086,2954176,4147518,4007555,3072459,4021986,3577623,2950897,3193248,3617391,4115109,3862364,3093672,4107034,4285336,3512023,2572958,2776840,1,3949526,2899901,2766411,3331077,3923887,2721849,3834550,3039883,3460134,2914659,2594338,3094341,2267824,2470978,1988515,3949030,3403744
87,4187379,3717232,4539647,3482175,2996112,2962344,2951144,3563644,3444833,3434950,3438331,5011856,3748862,4118632,2914646,3522349,2956323,3277075,3624073,4513390,3204225,3590682,4374559,3889775,2803804,2526223,2992822,2947500,2679232,4652542,2524622,4333660,3984670,3474315,3345347,3212791,2938064,4711252,2725244,3233609,2806492,3784318,3025847,3060315,3173788,1824352,3202110,3096722,3628438,2617779,3027810,4223775,4063676,3111539,4070992,3641351,3003505,3254788,3657542,4168678,3935735,3136867,4171198,4344554,3551308,2607802,2813773,1,3997737,2941786,2805342,3368990,3984851,2750343,3879270,3093313,3518448,2961410,2629259,3135626,2297122,2506285,2012614,4001507,3442991
88,4243397,3789134,4611489,3538083,3045265,2999630,3000224,3611365,3507571,3504113,3496826,5077432,3792289,4209319,2964251,3583944,3006948,3323046,3684839,4566248,3250065,3644805,4437293,3935253,2857016,2565853,3033964,3002269,2741472,4751517,2557888,4406024,4042127,3530509,3405001,3272965,3000994,4766271,2780280,3286317,2838994,3844095,3066015,3113672,3223957,1853066,3254517,3138933,3688163,2654916,3083683,4268664,4116099,3165559,4118403,3703259,3058055,3314472,3709499,4240378,3998823,3184247,4252718,4406004,3598648,2654749,2868979,1,4050328,3002755,2840095,3416230,4024708,2787754,3949958,3139750,3565579,3000216,2660988,3177502,2326475,2549606,2039868,4055271,3488613
89,4306838,3842091,4673767,3593688,3090863,3056214,3053837,3666314,3557398,3567702,3562563,5140392,3854731,4266324,3010560,3653215,3057211,3390181,3731532,4635926,3290148,3708163,4495395,3982265,2920238,2605969,3061686,3030832,2791131,4850023,2599848,4475373,4116847,3577505,3468608,3329352,3057167,4829585,2828277,3369823,2876280,3914052,3109859,3169160,3277230,1882719,3320475,3185821,3739191,2706077,3145605,4330070,4159143,3216112,4185452,3764658,3121542,3404414,3756523,4278707,4090291,3245254,4367025,4468431,3636898,2707318,2901406,1,4095271,3068933,2892308,3461908,4088940,2829175,4022281,3208315,3616806,3046686,2698789,3226364,2362851,2592538,2069059,4098255,3533826
90,4388496,3899892,4749257,3673734,3150593,3102362,3103040,3725183,3650147,3634099,3631010,5229438,3918088,4323449,3057955,3718414,3128751,3430760,3789128,4712271,3338931,3784867,4550715,4035646,2983035,2639368,3106855,3077406,2850696,4951627,2651010,4539009,4191967,3655571,3550163,3380670,3120001,4912661,2886633,3430133,2903865,3998500,3161433,3216165,3327501,1915567,3373999,3250201,3814806,2751925,3219650,4397193,4224028,3283405,4250844,3835083,3215788,3475191,3802871,4337163,4184450,3303199,4460864,4544192,3709613,2766907,2962409,1,4156936,3122414,2937909,3508218,4181800,2869243,4114950,3271678,3691313,3106440,2747799,3275403,2400450,2641462,2104106,4169867,3590270
91,4472248,3988029,4841395,3725428,3208548,3161922,3195403,3789128,3736873,3707249,3715918,5333869,4010753,4384293,3125698,3789853,3194998,3497155,3850497,4810729,3387903,3839287,4626130,4103703,3027950,2703598,3169755,3113257,2904493,5061262,2708712,4627240,4256337,3714297,3619414,3431391,3168531,5019648,2960627,3495665,2952683,4052402,3242319,3276169,3399551,1954276,3418338,3317418,3861403,2797777,3301606,4476199,4313966,3367645,4345884,3904303,3270241,3544093,3865183,4438524,4264505,3381551,4538622,4606480,3768121,2821581,3006479,1,4234464,3173927,2997818,3575301,4266055,2924122,4197257,3328003,3758867,3165011,2804494,3332195,2452161,2695750,2145591,4253286,3646712
92,4564246,4071986,4928398,3796438,3259245,3227042,3269159,3857466,3829103,3796799,3792908,5455225,4096808,4466557,3193321,3846907,3285255,3564671,3926601,4902755,3449837,3932033,4708607,4167788,3078753,2761472,3225005,3181026,3003331,5195132,2759713,4705240,4325685,3775095,3689177,3517836,3259353,5115890,3034887,3577017,3007857,4130755,3303991,3356293,3462664,1995956,3512521,3386923,3945960,2849019,3391353,4579739,4378768,3450662,4425112,4011240,3342157,3643118,3948306,4532092,4344535,3472955,4640078,4672057,3834786,2897836,3037934,1,4314035,3239026,3065786,3640726,4348391,2983945,4277431,3414047,3884077,3234215,2861660,3389149,2505380,2763629,2178017,4315738,3729084
93,4643528,4173817,5015424,3891810,3321220,3297619,3360443,3937563,3934624,3897072,3872473,5542253,4198227,4552939,3248916,3942541,3385545,3635597,3995511,4970616,3531636,4023029,4804656,4243826,3145344,2826962,3295328,3232889,3073620,5341882,2823301,4819559,4425340,3857320,3800340,3590207,3327079,5236080,3104034,3695735,3070028,4228917,3373244,3430985,3530196,2041576,3576203,3458025,4046220,2916958,3490579,4668275,4472031,3544151,4528804,4089234,3435596,3726164,4055812,4621356,4422403,3563675,4768181,4783602,3922841,2995758,3104052,1,4404797,3338650,3135767,3716602,4452211,3037065,4388911,3491594,3979438,3313055,2927305,3464808,2559089,2841552,2219900,4405088,3807750
